b,Pizza Slice,298.0,34.0,13.3,12.1
b,Peanut Butter (tbsp),95.0,3.5,4.0,8.0
b,Berry Pie Slice,360.0,49.2,4.0,17.5
b,Potato Salad (cup),358.0,27.9,6.7,20.5
b,Jelly (tbsp),56.0,14.7,0.0,6.3
b,Hot Dog,190.0,4.0,7.0,16.0
b,Yogurt (4oz),100.0,19.0,4.0,1.5
b,Hot Dog Bun,110.0,21.0,3.0,1.5
b,Bread (slice),80.0,15.0,2.0,1.0
b,Cola (can),140.0,39.0,0.0,0.0
r,PB Sandwich,Bread (slice),2.0,Peanut Butter (tbsp),2.0
r,HotDog+Bun,Hot Dog,1.0,Hot Dog Bun,1.0
r,Bad Dinner,Pizza Slice,2.0,HotDog+Bun,2.0,Potato Salad (cup),1.8,Cola (can),1.0,Berry Pie Slice,1.5
r,PB+J Sandwich,PB Sandwich,1.0,Jelly (tbsp),1.0
